# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/PHENIX_2016_I1394433/d24-x01-y03 //direct/sphenix+u/eumaka/RIVETAnalyses/PHENIX_2016_I1394433/Rivet.yoda/PHENIX_2016_I1394433:cent=GEN/d24-x01-y03
LegendOnly=/PHENIX_2016_I1394433/d24-x01-y03 //direct/sphenix+u/eumaka/RIVETAnalyses/PHENIX_2016_I1394433/Rivet.yoda/PHENIX_2016_I1394433:cent=GEN/d24-x01-y03
RatioPlot=1
RatioPlotReference=/PHENIX_2016_I1394433/d24-x01-y03
# END PLOT

# BEGIN HISTO1D /PHENIX_2016_I1394433/d24-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2016_I1394433/d24-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	3.970000e+00	3.300000e-01	3.300000e-01
5.000000e+00	1.000000e+01	3.900000e+00	3.200000e-01	3.200000e-01
1.000000e+01	1.500000e+01	3.810000e+00	3.100000e-01	3.100000e-01
1.500000e+01	2.000000e+01	3.690000e+00	3.100000e-01	3.100000e-01
2.000000e+01	2.500000e+01	3.560000e+00	3.000000e-01	3.000000e-01
2.500000e+01	3.000000e+01	3.410000e+00	2.900000e-01	2.900000e-01
3.000000e+01	3.500000e+01	3.260000e+00	2.900000e-01	2.900000e-01
3.500000e+01	4.000000e+01	3.100000e+00	3.000000e-01	3.000000e-01
4.000000e+01	4.500000e+01	2.940000e+00	3.000000e-01	3.000000e-01
4.500000e+01	5.000000e+01	2.780000e+00	3.200000e-01	3.200000e-01
# END HISTO1D


# BEGIN HISTO1D //direct/sphenix+u/eumaka/RIVETAnalyses/PHENIX_2016_I1394433/Rivet.yoda/PHENIX_2016_I1394433:cent=GEN/d24-x01-y03
LineColor=red
LineStyle=solid
Path=//direct/sphenix+u/eumaka/RIVETAnalyses/PHENIX_2016_I1394433/Rivet.yoda/PHENIX_2016_I1394433:cent=GEN/d24-x01-y03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	4.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

