# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d55-x01-y10
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d55-x01-y10
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d55-x01-y10
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d55-x01-y10
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.275000e+00	-9.800000e-01	8.791481e+03	6.216624e+03	6.216624e+03
-9.800000e-01	-6.850000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.850000e-01	-4.150000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.150000e-01	-2.200000e-01	6.919405e+03	6.919405e+03	6.919405e+03
-2.200000e-01	-1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	4.150000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.150000e-01	6.850000e-01	5.189578e+03	5.189579e+03	5.189579e+03
6.850000e-01	9.800000e-01	4.582892e+03	4.582892e+03	4.582892e+03
9.800000e-01	1.275000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+00	1.595000e+00	4.253547e+03	4.253546e+03	4.253546e+03
1.595000e+00	1.965000e+00	1.098660e+04	6.343147e+03	6.343147e+03
1.965000e+00	2.305000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.305000e+00	2.550000e+00	5.507282e+03	5.507281e+03	5.507281e+03
2.550000e+00	2.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+00	2.945000e+00	6.629390e+03	6.629391e+03	6.629391e+03
2.945000e+00	3.140000e+00	6.980179e+03	6.980179e+03	6.980179e+03
3.140000e+00	3.340000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.340000e+00	3.535000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.535000e+00	3.730000e+00	6.698631e+03	6.698629e+03	6.698629e+03
3.730000e+00	3.975000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.975000e+00	4.320000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.320000e+00	4.701200e+00	3.546571e+03	3.546571e+03	3.546571e+03
# END HISTO1D

