# BEGIN PLOT
Legend=1
LogY=1
Title=Invariant yields for $K^{\pm}$ measured in minimum-bias events at midrapidity and normalized to one rapidity unit.
XLabel=$p_{T}$ (GeV/$c$)
YLabel=(1/2 $p_{T}$) d$^{2}$N/d$p_{T}$dy ($c^{2}$/GeV$^{2}$)
DrawOnly=/PHENIX_2004_I623413/d01-x01-y02 //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d01-x01-y02
LegendOnly=/PHENIX_2004_I623413/d01-x01-y02 //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d01-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2004_I623413/d01-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2004_I623413/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2004_I623413/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	5.000000e-01	4.600000e+00	4.000000e-01	4.000000e-01
5.000000e-01	6.000000e-01	3.200000e+00	2.000000e-01	2.000000e-01
6.000000e-01	7.000000e-01	2.100000e+00	2.000000e-01	2.000000e-01
7.000000e-01	8.000000e-01	1.600000e+00	1.000000e-01	1.000000e-01
8.000000e-01	9.000000e-01	1.170000e+00	9.000000e-02	9.000000e-02
9.000000e-01	1.000000e+00	6.900000e-01	6.000000e-02	6.000000e-02
1.000000e+00	1.100000e+00	5.300000e-01	5.000000e-02	5.000000e-02
1.100000e+00	1.200000e+00	3.800000e-01	4.000000e-02	4.000000e-02
1.200000e+00	1.300000e+00	2.700000e-01	3.000000e-02	3.000000e-02
1.300000e+00	1.400000e+00	1.600000e-01	2.000000e-02	2.000000e-02
1.400000e+00	1.500000e+00	1.300000e-01	2.000000e-02	2.000000e-02
1.500000e+00	1.600000e+00	1.000000e-01	1.000000e-02	1.000000e-02
1.600000e+00	1.700000e+00	7.000000e-02	1.000000e-02	1.000000e-02
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d01-x01-y02
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d01-x01-y02
ScaledBy=2.29147355966095020e-37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	5.000000e-01	2.000000e+01	1.414214e+01	1.414214e+01
5.000000e-01	6.000000e-01	1.000000e+01	1.000000e+01	1.000000e+01
6.000000e-01	7.000000e-01	-4.133498e-23	4.133507e-23	4.133507e-23
7.000000e-01	8.000000e-01	-1.236065e-31	1.240019e-31	1.240019e-31
8.000000e-01	9.000000e-01	2.000000e+01	1.414214e+01	1.414214e+01
9.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.300000e+00	-1.023075e-30	1.023075e-30	1.023075e-30
1.300000e+00	1.400000e+00	1.000000e+01	1.000000e+01	1.000000e+01
1.400000e+00	1.500000e+00	8.027292e-29	8.027292e-29	8.027292e-29
1.500000e+00	1.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+00	1.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

