# BEGIN PLOT
Legend=1
LogY=1
Title="Pion invariant yields in each event centrality and $p_{T}$ bin measured at midrapidity
XLabel=normalized to one rapidity unit."
YLabel=$p_{T}$ (GeV/$c$)
DrawOnly=/PHENIX_2004_I623413/d04-x01-y03 //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d04-x01-y03
LegendOnly=/PHENIX_2004_I623413/d04-x01-y03 //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d04-x01-y03
RatioPlot=1
RatioPlotReference=/PHENIX_2004_I623413/d04-x01-y03
# END PLOT

# BEGIN HISTO1D /PHENIX_2004_I623413/d04-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2004_I623413/d04-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	3.000000e-01	1.860000e+02	4.000000e+00	4.000000e+00
3.000000e-01	4.000000e-01	9.300000e+01	2.000000e+00	2.000000e+00
4.000000e-01	5.000000e-01	4.800000e+01	1.000000e+00	1.000000e+00
5.000000e-01	6.000000e-01	2.600000e+01	7.000000e-01	7.000000e-01
6.000000e-01	7.000000e-01	1.500000e+01	5.000000e-01	5.000000e-01
7.000000e-01	8.000000e-01	9.900000e+00	4.000000e-01	4.000000e-01
8.000000e-01	9.000000e-01	6.400000e+00	3.000000e-01	3.000000e-01
9.000000e-01	1.100000e+00	3.400000e+00	1.000000e-01	1.000000e-01
1.100000e+00	1.300000e+00	1.470000e+00	7.000000e-02	7.000000e-02
1.300000e+00	1.500000e+00	7.200000e-01	4.000000e-02	4.000000e-02
1.500000e+00	1.700000e+00	3.300000e-01	3.000000e-02	3.000000e-02
1.700000e+00	1.900000e+00	1.500000e-01	2.000000e-02	2.000000e-02
1.900000e+00	2.100000e+00	1.000000e-01	1.000000e-02	1.000000e-02
2.100000e+00	2.300000e+00	3.400000e-02	7.000000e-03	7.000000e-03
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d04-x01-y03
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d04-x01-y03
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	3.000000e-01	1.378284e+04	4.872968e+03	4.872968e+03
3.000000e-01	4.000000e-01	1.033713e+04	4.220115e+03	4.220115e+03
4.000000e-01	5.000000e-01	5.168564e+03	2.984072e+03	2.984072e+03
5.000000e-01	6.000000e-01	8.614273e+03	3.852420e+03	3.852420e+03
6.000000e-01	7.000000e-01	5.168564e+03	2.984072e+03	2.984072e+03
7.000000e-01	8.000000e-01	1.033713e+04	4.220115e+03	4.220115e+03
8.000000e-01	9.000000e-01	5.168564e+03	2.984072e+03	2.984072e+03
9.000000e-01	1.100000e+00	1.722854e+03	1.218242e+03	1.218242e+03
1.100000e+00	1.300000e+00	8.614275e+02	8.614273e+02	8.614273e+02
1.300000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+00	1.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

